"Variabile","Maschi","Femmine","Totale"
"Popolazione straniera al 1° gennaio","2414285","2581873","4996158"
"Nati vivi stranieri","32250","30668","62918"
"Morti stranieri","3937","3494","7431"
"Saldo naturale anagrafico degli stranieri","28313","27174","55487"
"Stranieri iscritti in anagrafe da altro comune","151135","133082","284217"
"Stranieri cancellati dall'anagrafe per altro comune","151135","133082","284217"
"Saldo migratorio anagrafico interno degli stranieri","0","0","0"
"Stranieri iscritti in anagrafe dall'estero","130542","134029","264571"
"Stranieri cancellati dall'anagrafe per l'estero","27494","29991","57485"
"Saldo migratorio anagrafico estero degli stranieri","103048","104038","207086"
"Stranieri iscritti in anagrafe per altri motivi","25986","13603","39589"
"Stranieri cancellati dall'anagrafe per altri motivi","81410","50112","131522"
"Saldo anagrafico per altri motivi degli stranieri","-55424","-36509","-91933"
"Stranieri iscritti in anagrafe in totale","307663","280714","588377"
"Stranieri cancellati dall'anagrafe in totale","260039","213185","473224"
"Saldo migratorio anagrafico e per altri motivi degli stranieri","47624","67529","115153"
"Acquisizioni della cittadinanza italiana","60111","66890","127001"
"Unità straniere in più/meno dovute a variazioni territoriali","0","0","0"
"Saldo censuario totale stranieri","1567","-1727","-160"
"Popolazione straniera al 31 dicembre","2431678","2607959","5039637"
"Popolazione straniera residente in convivenza al 31 dicembre","107891","32697","140588"
"Popolazione straniera residente in famiglia al 31 dicembre","2323787","2575262","4899049"
"Informazioni","b","b","b"
