Tavola 12.1 -;;;;;;;;
;;;;;;;;
;;;;;;;;
AREE GEOGRAFICHE  E;Maschi;Femmine;Totale;;AREE GEOGRAFICHE  E;Maschi;Femmine;Totale
PAESI DI CITTADINANZA;;;;;PAESI DI CITTADINANZA;;;
;;;;;;;;
EUROPA; 504.658 ; 666.505 ; 1.171.163 ;;ASIA; 520.052 ; 422.391 ; 942.443 
Centro-orientale; 502.115 ; 663.138 ; 1.165.253 ;;Occidentale; 19.661 ; 20.567 ; 40.228 
 Albania; 259.833 ; 231.662 ; 491.495 ;;Arabia Saudita; 100 ; 71 ; 171 
 Bielorussia; 1.472 ; 6.945 ; 8.417 ;;Armenia; 291 ; 513 ; 804 
 Bosnia-Erzegovina; 16.707 ; 12.924 ; 29.631 ;;Azerbaigian; 169 ; 228 ; 397 
 Croazia; 11.339 ; 10.969 ; 22.308 ;;Bahrein; 6 ; 6 ; 12 
 Macedonia,ex Rep.Jugoslava; 45.710 ; 36.499 ; 82.209 ;;Emirati Arabi Uniti; 30 ; 12 ; 42 
 Moldova; 48.518 ; 99.001 ; 147.519 ;;Georgia; 1.294 ; 8.173 ; 9.467 
 Russia, Federazione; 6.439 ; 30.651 ; 37.090 ;;Giordania; 1.796 ; 1.132 ; 2.928 
 Serbia/ Kosovo/ Montenegro (a); 55.138 ; 46.416 ; 101.554 ;;Iran; 5.299 ; 4.702 ; 10.001 
 Turchia; 12.308 ; 8.940 ; 21.248 ;;Iraq; 2.274 ; 809 ; 3.083 
 Ucraina; 44.651 ; 179.131 ; 223.782 ;;Israele; 1.733 ; 1.095 ; 2.828 
Altri paesi non comunitari; 2.543 ; 3.367 ; 5.910 ;;Kuwait; 28 ; 11 ; 39 
 Andorra; - ; - ; - ;;Libano; 2.888 ; 1.636 ; 4.524 
 Citt… del Vaticano; - ; - ; - ;;Oman; 4 ; 5 ; 9 
 Islanda; 13 ; 47 ; 60 ;;Palestina,Territori autonomi; 691 ; 299 ; 990 
 Liechtenstein; 8 ; 4 ; 12 ;;Qatar; 7 ; 1 ; 8 
 Monaco; - ; - ; - ;;Siria; 2.945 ; 1.800 ; 4.745 
 Norvegia; 135 ; 297 ; 432 ;;Yemen; 106 ; 74 ; 180 
 San Marino; 331 ; 287 ; 618 ;;Centro-meridionale; 287.048 ; 159.818 ; 446.866 
 Svizzera; 2.056 ; 2.732 ; 4.788 ;;Afghanistan; 4.440 ; 398 ; 4.838 
;;;;;Bangladesh; 75.221 ; 31.450 ; 106.671 
;;;;;Bhutan; 11 ; 6 ; 17 
;;;;;India; 92.068 ; 53.096 ; 145.164 
;;;;;Kazakhstan; 286 ; 1.320 ; 1.606 
