Tavola 20.1.5 -    ;;;;;;;
;;;;;;;
;;;;;;;
AREE GEOGRAFICHE E;Soggiornanti di; Lavoro ; Famiglia ;Studio;Asilo/;Altro; Totale 
PAESI DI CITTADINANZA;lungo periodo;;(b);;Umanitari;;
;;;;;;;
EUROPA (a);724.613;75.637;167.344;8.404;11.520;15.634;1.003.152
Centro-orientale ;724.606;75.636;167.341;8.404;11.520;15.633;1.003.140
di cui:      Albania;286.852;30.280;86.261;2.170;1.601;9.539;416.703
               Bosnia - Erzegovina;16.125;1.177;3.357;101;223;315;21.298
               Kosovo;30.875;3.320;9.060;136;1.175;427;44.993
               Macedonia, Repubblica di;46.294;2.994;9.924;137;125;277;59.751
               Moldova;96.302;8.823;13.975;104;92;307;119.603
               Russia, Federazione;23.933;3.094;9.429;1.839;306;1.622;40.223
               Serbia;22.454;1.912;4.715;385;558;410;30.434
               Turchia;11.546;2.207;3.835;2.361;1.774;79;21.802
               Ucraina;176.284;21.071;24.628;647;5.568;2.441;230.639
;;;;;;;
AFRICA;678.218;96.216;187.714;7.035;126.323;12.992;1.108.498
Settentrionale;487.088;59.871;134.900;2.753;6.840;3.817;695.269
di cui:      Algeria;15.466;1.248;2.964;158;175;121;20.132
               Egitto;93.278;16.820;28.163;843;1.568;780;141.452
               Marocco;304.329;33.335;86.056;894;2.204;2.017;428.835
               Tunisia;72.850;8.251;16.870;607;533;668;99.779
Occidentale;162.607;33.194;44.761;1.276;103.422;4.831;350.091
di cui:      Burkina Faso;9.115;1.325;1.511;19;1.386;236;13.592
               Costa d'Avorio;13.356;1.960;3.018;80;7.776;343;26.533
               Gambia;602;2.269;487;56;13.268;197;16.879
               Ghana;27.325;5.446;6.909;407;6.412;390;46.889
               Guinea;2.165;809;983;18;5.749;136;9.860
               Mali;1.317;1.291;528;13;14.637;117;17.903
               Nigeria;37.669;7.301;13.150;373;37.371;2.075;97.939
               Senegal;62.352;11.405;15.901;83;11.553;818;102.112
Orientale     ;16.527;1.757;4.410;885;12.342;2.630;38.551
di cui:      Eritrea;3.137;137;679;24;3.466;191;7.634
               Etiopia;4.577;453;1.065;237;1.060;154;7.546
               Mauritius;3.802;633;789;9;23;138;5.394
               Somalia;1.402;43;448;13;7.471;15;9.392
Centro-meridionale;11.996;1.394;3.643;2.121;3.719;1.714;24.587
di cui:      Camerun;7.669;973;2.026;1.517;2.234;341;14.760
               Congo;1.126;86;362;125;352;153;2.204
;;;;;;;
ASIA;648.995;178.511;178.887;27.273;68.261;12.348;1.114.275
Occidentale;21.719;5.831;8.630;7.178;12.519;933;56.810
di cui:      Georgia;8.400;2.748;2.423;179;1.291;340;15.381
                Iran;4.807;1.650;1.666;3.813;1.334;125;13.395
                Iraq;823;88;877;107;4.978;60;6.933
               Libano;2.298;351;800;709;180;170;4.508
               Siria;2.178;179;1.322;164;3.511;77;7.431
Centro-meridionale;327.085;73.624;105.400;5.513;54.549;5.680;571.851
di cui:     Afghanistan;2.554;117;886;45;11.249;30;14.881
               Bangladesh;85.281;20.717;27.160;144;14.600;487;148.389
               India;100.597;21.847;34.233;3.729;1.121;4.136;165.663
               Pakistan;65.695;14.673;22.938;876;26.437;554;131.173
               Sri Lanka;69.193;15.590;18.668;86;801;350;104.688
Orientale;300.191;99.056;64.857;14.582;1.193;5.735;485.614
di cui:      Cina,Rep.Popolare;180.942;69.577;37.211;11.250;926;1.167;301.073
               Filippine;105.516;27.000;22.815;183;135;2.015;157.664
;;;;;;;
AMERICA;229.128;41.201;87.711;7.768;10.200;10.880;386.888
Settentrionale  ;13.986;9.958;10.380;3.438;4;2.483;40.249
di cui:     Stati Uniti;12.879;9.589;9.861;3.221;3;2.259;37.812
Centro-meridionale;215.142;31.243;77.331;4.330;10.196;8.397;346.639
di cui:      Argentina;4.877;512;1.998;215;26;687;8.315
               Brasile;25.010;2.931;14.239;1.123;331;2.552;46.186
               Colombia;11.096;1.378;4.185;835;1.005;606;19.105
               Cuba;13.036;1.145;8.856;61;226;76;23.400
               Dominicana,Rep.;17.441;2.374;9.017;66;27;100;29.025
               Ecuador;54.940;6.286;9.553;277;26;395;71.477
               Peru';62.272;10.328;15.033;284;1.490;1.163;90.570
;;;;;;;
OCEANIA;1.094;263;623;177;1;305;2.463
Apolidi;112;13;122;1;38;264;550
;;;;;;;
TOTALE         ;2.282.160;391.841;622.401;50.658;216.343;52.423;3.615.826
'Fonte: elaborazioni Istat su dati del Ministero dell'Interno;;;;;;;
(a) A seguito di mutamenti normativi, a partire dai dati relativi allo stock al 1ø gennaio 2014 e ai flussi in ingresso nel 2013 non vengono pi— diffusi i dati relativi all?area geografica ?Altri paesi non comunitari? (Andorra, Citt… del Vaticano, Islanda, Liechtenstein, Monaco, Norvegia, San Marino, Svizzera).;;;;;;;
(b) Sono compresi i minori registrati sul permesso di un adulto anche se rilasciato per motivi di lavoro;;;;;;;
;;;;;;;
