'WHERE','MALE','FEMALE','TOTAL','YEAR'
'EUROPA (a)',495.729,678.123,1.173.852,2015
'Centro-orientale',495.729,678.123,1.173.852,2015
' Albania',258.862,239.557,498.419,2015
' Bielorussia',1.633,7.429,9.062,2015
' Bosnia-Erzegovina',16.035,13.045,29.080,2015
' Macedonia,ex Rep.Jugoslava',45127,38.018,83.145,2015
' Moldova',48.363,98.291,146.654,2015
' Russia, Federazione',7278,32.778,40.056,2015
' Serbia/ Kosovo/ Montenegro (b)',57.568,50.678,108.246,2015
' Turchia',12.965,9.543,22.508,2015
' Ucraina',47.898,188.784,236.682,2015
,,,,
'AFRICA',732.150,481.875,1.214.025,2015
'Settentrionale',483.086,329.630,812.716,2015
' Algeria',18.336,10.463,28.799,2015
' Egitto',98.839,42.404,141.243,2015
' Libia',1.189,616,1.805,2015
' Marocco',286.972,231.385,518.357,2015
'Sud Sudan, Repubblica del',26,18,44,2015
' Sudan',2.134,490,2.624,2015
' Tunisia',75.590,44.254,119.844,2015
'Occidentale',211.303,115.766,327.069,2015
' Benin',1.753,1.229,2.982,2015
' Burkina Faso',10.584,5.762,16.346,2015
' Capo Verde',1.533,3.469,5.002,2015
' Costa d''Avorio',16029,11.707,27.736,2015
' Gambia',7.311,349,7.660,2015
' Ghana',33.475,22.248,55.723,2015
' Guinea',3.696,1.653,5.349,2015
' Guinea Bissau',753,200,953,2015
' Liberia',1.194,268,1.462,2015
' Mali',11.721,649,12.370,2015
' Mauritania',761,305,1.066,2015
' Niger',869,362,1.231,2015
' Nigeria',41.284,37.672,78.956,2015
' Senegal',76.057,27.351,103.408,2015
' Sierra Leone',860,540,1.400,2015
' Togo',3.423,2.002,5.425,2015
'Orientale',24.609,24.223,48.832,2015
' Burundi',248,340,588,2015
' Comore',5,1,6,2015
' Eritrea',6.615,5.548,12.163,2015
' Etiopia',3.658,5.703,9.361,2015
' Gibuti',18,13,31,2015
' Kenya',966,1.557,2.523,2015
' Madagascar',435,1.040,1.475,2015
' Malawi',37,32,69,2015
' Mauritius',3.651,4.616,8.267,2015
' Mozambico',172,228,400,2015
' Ruanda',256,293,549,2015
' Seychelles',152,390,542,2015
' Somalia',7.358,3.328,10.686,2015
' Tanzania',529,580,1.109,2015
' Uganda',309,320,629,2015
' Zambia',114,122,236,2015
' Zimbabwe',86,112,198,2015
'Centro-meridionale',13.152,12.256,25.408,2015
' Angola',846,757,1.603,2015
' Botswana',7,7,14,2015
' Camerun',7.065,6.650,13.715,2015
' Centrafricana, Rep.',108,61,169,2015
' Ciad',399,111,510,2015
' Congo',1.722,1.636,3.358,2015
' Congo,Rep.Democratica',2474,2.350,4.824,2015
' Gabon',120,129,249,2015
' Guinea equatoriale',58,55,113,2015
' Lesotho',10,8,18,2015
' Namibia',9,22,31,2015
' Sao Tome''e Principe',10,16,26,2015
' Sud Africa',313,443,756,2015
' Swaziland',11,11,22,2015
,,,,
'ASIA',624.108,498.690,1.122.798,2015
'Occidentale',23.312,26.126,49.438,2015
'Arabia Saudita',132,110,242,2015
'Armenia',406,648,1.054,2015
'Azerbaigian',275,291,566,2015
'Bahrein',11,13,24,2015
'Emirati Arabi Uniti',5,3,8,2015
'Georgia',2.185,11.963,14.148,2015
'Giordania',1.716,1.089,2.805,2015
'Iran',6278,5.533,11.811,2015
'Iraq',2.970,773,3.743,2015
'Israele',1.542,1.082,2.624,2015
'Kuwait',61,23,84,2015
'Libano',3.053,1.798,4.851,2015
'Oman',10,13,23,2015
'Qatar',10,5,15,2015
'Siria',3.578,2.290,5.868,2015
'Territori dell''Autonomia Palestinese',932,394,1.326,2015
'Yemen',148,98,246,2015
'Centro-meridionale',352.626,192.525,545.151,2015
'Afghanistan',9.381,592,9.973,2015
'Bangladesh',99.835,39.002,138.837,2015
'Bhutan',13,5,18,2015
'India',102.852,63.662,166.514,2015
'Kazakhstan',337,1.551,1.888,2015
'Kirghizistan',210,1.037,1.247,2015
'Maldive',18,4,22,2015
'Nepal',1.017,584,1.601,2015
'Pakistan',79.901,36.089,115.990,2015
'Sri Lanka',58.657,48.848,107.505,2015
'Tagikistan',25,24,49,2015
'Turkmenistan',27,48,75,2015
'Uzbekistan',353,1.079,1.432,2015
'Orientale',248.170,280.039,528.209,2015
' Brunei',2,3,5,2015
' Cambogia',81,161,242,2015
' Cina,Rep.Popolare',168960,163.229,332.189,2015
' Corea,Rep.Pop.Dem.',22,21,43,2015
' Corea,Rep.',1635,2.553,4.188,2015
' Filippine',72.044,97.002,169.046,2015
' Giappone',2.608,6.203,8.811,2015
' Indonesia',618,2.273,2.891,2015
' Laos',21,58,79,2015
' Malaysia',161,262,423,2015
' Mongolia',63,162,225,2015
' Myanmar ',108,188,296,2015
' Singapore',72,186,258,2015
' Taiwan',270,611,881,2015
' Thailandia',868,6.047,6.915,2015
' Timor Orientale',11,56,67,2015
' Vietnam',626,1.024,1.650,2015
,,,,
'AMERICA',154.141,261.848,415.989,2015
'Settentrionale  ',15.393,23.780,39.173,2015
' Canada',966,1.560,2.526,2015
' Stati Uniti',14427,22.220,36.647,2015
'Centro-meridionale',138.748,238.068,376.816,2015
' Antigua e Barbuda',5,6,11,2015
' Argentina',3.842,5.555,9.397,2015
' Bahamas',9,13,22,2015
' Barbados',11,13,24,2015
' Belize',10,3,13,2015
' Bolivia',4.963,8.450,13.413,2015
' Brasile',11.577,33.121,44.698,2015
' Cile',1.482,2.143,3.625,2015
' Colombia',7.870,13.418,21.288,2015
' Costa Rica',179,349,528,2015
' Cuba',5.835,17.629,23.464,2015
' Dominica',226,528,754,2015
' Dominicana,Rep.',10831,19.396,30.227,2015
' Ecuador',36.930,51.840,88.770,2015
' El Salvador',4.578,7.689,12.267,2015
' Giamaica',68,91,159,2015
' Grenada',4,5,9,2015
' Guatemala',264,600,864,2015
' Guyana',9,16,25,2015
' Haiti',186,208,394,2015
' Honduras',503,1.383,1.886,2015
' Messico',1.989,3.710,5.699,2015
' Nicaragua',220,464,684,2015
' Panama',121,288,409,2015
' Paraguay',516,1.295,1.811,2015
' Peru''',44.008,64.534,108.542,2015
' Saint Kitts e Nevis',2,3,5,2015
' Saint Lucia',4,9,13,2015
' S.Vincent e Grenadine','-','-','-',2015
' Suriname',3,4,7,2015
' Trinidad e Tobago',20,53,73,2015
' Uruguay',529,890,1.419,2015
' Venezuela',1.954,4.362,6.316,2015
,,,,
'OCEANIA',1.014,1.632,2.646,2015
' Australia',740,1.322,2.062,2015
' Figi',17,17,34,2015
' Kiribati',1,2,3,2015
' Marshall,Isole',7,4,11,2015
' Micronesia,Stati federati',2,1,3,2015
' Nauru','-','-','-',2015
' Nuova Zelanda',202,233,435,2015
' Palau',4,2,6,2015
' Papua Nuova Guinea',9,8,17,2015
' Salomone,Isole','.',2,2,2015
' Samoa',20,24,44,2015
' Tonga',6,10,16,2015
' Tuvalu',1,5,6,2015
' Vanuatu',5,2,7,2015
,,,,
'Apolidi',346,260,606,2015
,,,,
'TOTALE         ',2.007.488,1.922.428,3.929.916,2015
