DATAFLOW,LAST UPDATE,freq,indic_em,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2009,49.5,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2010,49.2,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2011,49.6,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2012,50.1,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2013,49.6,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2014,50.1,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2015,50.5,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2016,51.6,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2017,52.5,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2018,53.2,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2019,53.9,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2020,52.1,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2021,53.2,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,F,IT,2022,55.0,
