DATAFLOW,LAST UPDATE,freq,indic_em,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2009,72.9,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2010,71.9,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2011,71.7,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2012,70.6,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2013,68.8,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2014,69.0,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2015,70.2,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2016,71.5,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2017,72.2,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2018,72.9,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2019,73.3,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2020,71.8,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2021,72.4,
ESTAT:TESEM010(1.0),16/03/23 23:00:00,A,EMP_LFS,PC_POP,Y20-64,M,IT,2022,74.7,
